hr_lowest,hr_average,rmssd,score_deep,temperature_deviation,temperature_trend_deviation,temperature_delta,duration,rem,efficiency,score_alignment,score_rem,light,onset_latency,restless,breath_average,score_disturbances,score,score_efficiency,score_latency,score_total
63.0,72.72,24.0,45,-0.15,-0.04,-0.15,33660.0,7530.0,87.0,53,97,19290.0,600.0,49.0,15.25,56,77,88,86,90
64.0,69.8,26.0,89,-0.1,-0.06,-0.1,31200.0,7890.0,93.0,77,98,16170.0,990.0,33.0,14.75,75,88,98,94,89
62.0,69.0,30.0,70,0.14,0.05,0.14,29700.0,7260.0,94.0,100,96,16620.0,510.0,31.0,15.125,80,86,99,83,84
65.0,71.74,23.0,97,-0.01,0.08,-0.01,32400.0,8340.0,90.0,81,99,13800.0,1470.0,27.0,15.25,89,89,95,72,89
66.0,72.49,24.0,66,-0.2,0.0,-0.2,34200.0,8940.0,89.0,100,100,17850.0,900.0,30.0,15.125,86,92,93,99,95
66.0,73.03,21.0,23,-0.4,-0.18,-0.4,31380.0,7440.0,91.0,100,96,19680.0,300.0,39.0,15.0,70,79,96,72,86
67.0,74.91,19.0,33,0.06,-0.11,0.06,32040.0,10410.0,95.0,55,100,18030.0,390.0,37.0,15.25,70,80,100,78,94
63.0,71.54,26.0,65,-0.36,-0.14,-0.36,27600.0,7620.0,91.0,53,97,13710.0,1290.0,44.0,15.0,67,75,96,81,73
61.0,72.13,28.0,79,0.11,-0.03,0.11,35580.0,8220.0,88.0,100,98,18450.0,210.0,33.0,15.0,67,87,90,70,97
61.0,73.75,28.0,60,0.16,0.08,0.16,31920.0,7380.0,94.0,100,96,19140.0,330.0,30.0,15.375,82,87,99,75,92
70.0,75.0,19.0,73,0.02,0.14,0.02,32820.0,8370.0,94.0,82,99,18330.0,420.0,36.0,15.0,74,88,99,78,96
66.0,72.51,25.0,35,-0.12,0.04,-0.12,30840.0,6420.0,90.0,90,90,19440.0,150.0,34.0,14.875,66,77,95,67,84
64.0,72.92,24.0,40,0.06,0.03,0.06,32820.0,9090.0,88.0,81,100,17430.0,930.0,44.0,15.0,71,82,90,97,88
60.0,72.31,25.0,47,0.06,0.07,0.06,28680.0,6780.0,95.0,58,95,17850.0,210.0,42.0,15.125,66,75,100,70,82
60.0,70.72,26.0,50,-0.08,0.05,-0.08,27600.0,5640.0,93.0,60,79,17130.0,480.0,37.0,15.125,73,74,98,81,75
65.0,70.76,24.0,45,-0.4,-0.12,-0.4,30720.0,8760.0,95.0,92,99,17760.0,270.0,29.0,14.75,85,85,100,72,89
65.0,70.76,24.0,45,-0.4,-0.12,-0.4,30720.0,8760.0,95.0,92,99,17760.0,270.0,29.0,14.75,85,85,100,72,89
62.0,70.93,26.0,46,-0.11,-0.17,-0.11,33420.0,7530.0,90.0,100,97,19830.0,600.0,30.0,15.0,73,86,95,86,93
63.0,69.8,28.0,49,0.07,-0.05,0.07,31260.0,7110.0,93.0,100,96,19200.0,720.0,25.0,15.0,88,88,98,91,89
62.0,71.59,26.0,53,-0.14,0.0,-0.14,32040.0,8430.0,91.0,86,99,17640.0,540.0,44.0,14.875,63,82,96,83,89
65.0,72.45,21.0,97,-0.21,-0.05,-0.21,30360.0,6540.0,95.0,76,92,15390.0,210.0,30.0,15.25,81,86,100,70,87
76.0,81.89,15.0,49,0.56,0.19,0.56,35640.0,11220.0,90.0,85,100,17970.0,1020.0,34.0,16.75,80,89,95,94,99
70.0,77.31,17.0,54,-0.17,0.2,-0.17,32700.0,9210.0,92.0,56,100,17910.0,240.0,30.0,16.375,77,82,97,70,94
71.0,77.52,18.0,62,0.07,0.16,0.07,26640.0,5580.0,94.0,73,79,15810.0,660.0,27.0,15.75,76,77,99,89,73
64.0,71.18,27.0,96,-0.03,0.07,-0.03,33960.0,8670.0,92.0,59,99,16920.0,390.0,25.0,15.0,76,88,97,78,97
64.0,71.48,30.0,78,-0.21,0.0,-0.21,30900.0,8610.0,92.0,79,99,15450.0,690.0,32.0,15.25,83,87,97,91,87
64.0,71.29,24.0,36,-0.19,-0.08,-0.19,33960.0,9540.0,92.0,95,100,19770.0,1020.0,25.0,15.25,94,90,97,94,97
