hr_lowest,hr_average,rmssd,score_deep,temperature_deviation,temperature_trend_deviation,temperature_delta,duration,rem,efficiency,score_alignment,score_rem,light,onset_latency,restless,breath_average,score_disturbances,score,score_efficiency,score_latency,score_total
58.0,65.68,37.0,99,0.08,0.09,0.08,35760.0,3570.0,80.0,94,54,17160.0,840.0,47.0,14.5,51,81,72,97,92
59.0,64.53,45.0,97,0.21,0.22,0.21,37320.0,5580.0,81.0,97,84,18540.0,600.0,47.0,14.375,52,85,74,86,96
58.0,64.44,46.0,98,-0.08,0.17,-0.08,26280.0,2040.0,79.0,100,30,11220.0,390.0,34.0,14.875,55,66,69,78,59
57.0,65.44,41.0,99,0.02,0.1,0.02,37560.0,4290.0,78.0,78,65,16920.0,1050.0,46.0,14.5,53,81,67,91,95
61.0,66.48,36.0,98,0.03,0.08,0.03,40920.0,5610.0,79.0,85,85,19830.0,270.0,48.0,14.5,49,83,69,72,100
59.0,64.92,49.0,97,-0.1,0.05,-0.1,26760.0,2220.0,83.0,100,32,13530.0,660.0,49.0,14.5,49,70,79,89,65
58.0,65.62,48.0,99,0.11,0.09,0.11,27000.0,3240.0,84.0,100,48,11580.0,210.0,40.0,14.875,54,71,81,70,67
58.0,62.98,48.0,97,-0.22,0.03,-0.22,31920.0,3690.0,86.0,85,55,17520.0,240.0,47.0,15.0,51,77,86,70,87
56.0,65.44,42.0,96,-0.12,0.0,-0.12,32460.0,3780.0,80.0,97,56,16170.0,150.0,45.0,14.75,52,75,72,67,80
57.0,64.15,43.0,99,0.1,0.07,0.1,34200.0,5190.0,85.0,100,78,15510.0,330.0,39.0,14.75,54,85,83,75,94
59.0,64.02,43.0,99,-0.14,0.08,-0.14,33840.0,4530.0,82.0,90,68,15450.0,210.0,40.0,14.625,59,80,76,70,88
58.0,63.31,43.0,100,-0.13,0.02,-0.13,35580.0,3870.0,85.0,100,58,17460.0,120.0,46.0,14.375,49,81,83,64,96
55.0,61.6,48.0,96,0.04,0.05,0.04,24300.0,1860.0,79.0,100,27,11580.0,240.0,46.0,14.5,51,63,72,70,53
56.0,63.36,49.0,96,-0.24,0.0,-0.24,22080.0,1590.0,85.0,100,23,11580.0,540.0,41.0,14.875,55,65,83,83,51
57.0,66.14,40.0,100,0.04,0.03,0.04,29700.0,3690.0,85.0,100,55,12480.0,180.0,35.0,14.5,63,77,83,67,77
59.0,64.55,42.0,97,-0.05,0.05,-0.05,35880.0,5460.0,87.0,100,82,19170.0,360.0,42.0,14.0,53,87,88,75,98
58.0,65.3,40.0,99,-0.07,0.06,-0.07,23640.0,1950.0,79.0,100,29,8340.0,660.0,35.0,14.125,65,66,69,89,50
59.0,68.08,35.0,99,-0.14,0.01,-0.14,32100.0,2940.0,80.0,100,43,14580.0,540.0,38.0,14.25,55,76,74,83,80
63.0,71.09,30.0,96,-0.07,0.0,-0.07,24960.0,3690.0,79.0,75,55,10290.0,150.0,33.0,15.375,67,65,69,67,55
59.0,66.34,45.0,100,-0.23,-0.05,-0.23,27420.0,3990.0,85.0,100,60,10080.0,600.0,30.0,14.75,66,77,83,86,70
61.0,69.63,31.0,99,-0.07,-0.04,-0.07,27000.0,4290.0,84.0,100,65,10620.0,900.0,41.0,14.75,57,76,81,99,67
60.0,66.25,44.0,100,-0.03,0.0,-0.03,33660.0,4350.0,83.0,100,66,14430.0,480.0,42.0,14.125,54,82,79,81,89
56.0,64.1,49.0,99,-0.17,0.0,-0.17,26220.0,2820.0,84.0,100,42,11250.0,210.0,39.0,14.125,55,70,81,70,65
62.0,69.73,32.0,99,0.0,0.01,0.0,29160.0,3300.0,86.0,100,49,13800.0,510.0,41.0,14.375,57,77,86,83,76
61.0,69.38,36.0,100,-0.13,0.0,-0.13,30840.0,3750.0,81.0,100,56,12600.0,480.0,42.0,14.75,54,76,74,81,77
63.0,71.02,31.0,100,-0.01,0.02,-0.01,38760.0,3270.0,80.0,79,49,17220.0,570.0,34.0,14.375,60,82,72,86,98
